sample_index,predicted_emotion,true_emotion,predicted_id,true_id,correct
0,sad,sad,6,6,True
1,happy,happy,4,4,True
2,fearful,fearful,3,3,True
3,disgust,disgust,2,2,True
4,neutral,neutral,5,5,True
5,angry,happy,0,4,False
6,disgust,disgust,2,2,True
7,angry,angry,0,0,True
8,happy,happy,4,4,True
9,disgust,fearful,2,3,False
10,angry,angry,0,0,True
11,fearful,fearful,3,3,True
12,fearful,fearful,3,3,True
13,disgust,angry,2,0,False
14,fearful,fearful,3,3,True
15,angry,angry,0,0,True
16,angry,happy,0,4,False
17,surprised,surprised,7,7,True
18,angry,angry,0,0,True
19,disgust,disgust,2,2,True
20,disgust,disgust,2,2,True
21,disgust,fearful,2,3,False
22,sad,sad,6,6,True
23,angry,angry,0,0,True
24,sad,sad,6,6,True
25,disgust,neutral,2,5,False
26,fearful,fearful,3,3,True
27,sad,sad,6,6,True
28,angry,disgust,0,2,False
29,disgust,disgust,2,2,True
30,sad,sad,6,6,True
31,disgust,disgust,2,2,True
32,disgust,disgust,2,2,True
33,calm,calm,1,1,True
34,happy,happy,4,4,True
35,disgust,disgust,2,2,True
36,surprised,surprised,7,7,True
37,disgust,disgust,2,2,True
38,neutral,happy,5,4,False
39,fearful,fearful,3,3,True
40,happy,fearful,4,3,False
41,disgust,disgust,2,2,True
42,neutral,sad,5,6,False
43,fearful,fearful,3,3,True
44,sad,sad,6,6,True
45,angry,angry,0,0,True
46,angry,happy,0,4,False
47,happy,happy,4,4,True
48,neutral,neutral,5,5,True
49,disgust,disgust,2,2,True
50,angry,angry,0,0,True
51,fearful,fearful,3,3,True
52,neutral,neutral,5,5,True
53,fearful,fearful,3,3,True
54,angry,angry,0,0,True
55,happy,happy,4,4,True
56,disgust,disgust,2,2,True
57,angry,angry,0,0,True
58,angry,angry,0,0,True
59,sad,sad,6,6,True
60,happy,happy,4,4,True
61,disgust,disgust,2,2,True
62,sad,sad,6,6,True
63,disgust,fearful,2,3,False
64,happy,happy,4,4,True
65,disgust,angry,2,0,False
66,happy,happy,4,4,True
67,happy,happy,4,4,True
68,neutral,neutral,5,5,True
69,angry,angry,0,0,True
70,neutral,neutral,5,5,True
71,sad,sad,6,6,True
72,sad,sad,6,6,True
73,fearful,fearful,3,3,True
74,happy,happy,4,4,True
75,fearful,fearful,3,3,True
76,disgust,disgust,2,2,True
77,neutral,neutral,5,5,True
78,sad,sad,6,6,True
79,sad,sad,6,6,True
80,angry,angry,0,0,True
81,sad,sad,6,6,True
82,disgust,disgust,2,2,True
83,angry,angry,0,0,True
84,surprised,surprised,7,7,True
85,sad,sad,6,6,True
86,angry,angry,0,0,True
87,happy,happy,4,4,True
88,angry,disgust,0,2,False
89,surprised,surprised,7,7,True
90,sad,sad,6,6,True
91,disgust,fearful,2,3,False
92,sad,sad,6,6,True
93,calm,calm,1,1,True
94,sad,happy,6,4,False
95,angry,angry,0,0,True
96,calm,calm,1,1,True
97,angry,happy,0,4,False
98,sad,sad,6,6,True
99,fearful,fearful,3,3,True
100,disgust,disgust,2,2,True
101,happy,happy,4,4,True
102,angry,angry,0,0,True
103,angry,angry,0,0,True
104,fearful,fearful,3,3,True
105,disgust,disgust,2,2,True
106,neutral,neutral,5,5,True
107,neutral,neutral,5,5,True
108,disgust,disgust,2,2,True
109,sad,sad,6,6,True
110,fearful,fearful,3,3,True
111,sad,sad,6,6,True
112,fearful,fearful,3,3,True
113,angry,happy,0,4,False
114,sad,sad,6,6,True
115,angry,angry,0,0,True
116,angry,angry,0,0,True
117,sad,sad,6,6,True
118,fearful,fearful,3,3,True
119,happy,happy,4,4,True
120,disgust,disgust,2,2,True
121,fearful,fearful,3,3,True
122,sad,sad,6,6,True
123,disgust,disgust,2,2,True
124,sad,fearful,6,3,False
125,happy,happy,4,4,True
126,angry,angry,0,0,True
127,disgust,sad,2,6,False
128,happy,happy,4,4,True
129,disgust,neutral,2,5,False
130,disgust,disgust,2,2,True
131,angry,angry,0,0,True
132,happy,happy,4,4,True
133,angry,angry,0,0,True
134,fearful,fearful,3,3,True
135,sad,sad,6,6,True
136,sad,fearful,6,3,False
137,angry,happy,0,4,False
138,disgust,disgust,2,2,True
139,happy,happy,4,4,True
140,angry,angry,0,0,True
141,angry,angry,0,0,True
142,fearful,fearful,3,3,True
143,fearful,fearful,3,3,True
144,surprised,surprised,7,7,True
145,angry,angry,0,0,True
146,happy,happy,4,4,True
147,surprised,surprised,7,7,True
148,disgust,fearful,2,3,False
149,sad,sad,6,6,True
150,neutral,neutral,5,5,True
151,disgust,disgust,2,2,True
152,disgust,disgust,2,2,True
153,happy,happy,4,4,True
154,angry,angry,0,0,True
155,neutral,neutral,5,5,True
156,surprised,surprised,7,7,True
157,neutral,neutral,5,5,True
158,neutral,neutral,5,5,True
159,angry,disgust,0,2,False
160,fearful,fearful,3,3,True
161,neutral,neutral,5,5,True
162,angry,angry,0,0,True
163,angry,angry,0,0,True
164,calm,calm,1,1,True
165,angry,angry,0,0,True
166,happy,happy,4,4,True
167,sad,sad,6,6,True
168,angry,angry,0,0,True
169,neutral,neutral,5,5,True
170,surprised,surprised,7,7,True
171,fearful,fearful,3,3,True
172,angry,happy,0,4,False
173,neutral,neutral,5,5,True
174,happy,happy,4,4,True
175,neutral,neutral,5,5,True
176,sad,sad,6,6,True
177,angry,angry,0,0,True
178,fearful,fearful,3,3,True
179,neutral,neutral,5,5,True
180,fearful,fearful,3,3,True
181,surprised,surprised,7,7,True
182,sad,sad,6,6,True
183,neutral,neutral,5,5,True
184,sad,sad,6,6,True
185,sad,sad,6,6,True
186,sad,sad,6,6,True
187,sad,fearful,6,3,False
188,fearful,fearful,3,3,True
189,neutral,neutral,5,5,True
190,surprised,surprised,7,7,True
191,fearful,fearful,3,3,True
192,angry,neutral,0,5,False
193,disgust,disgust,2,2,True
194,neutral,neutral,5,5,True
195,happy,happy,4,4,True
196,sad,sad,6,6,True
197,sad,sad,6,6,True
198,fearful,fearful,3,3,True
199,sad,sad,6,6,True
200,happy,happy,4,4,True
201,happy,happy,4,4,True
202,angry,angry,0,0,True
203,angry,angry,0,0,True
204,sad,sad,6,6,True
205,disgust,disgust,2,2,True
206,fearful,fearful,3,3,True
207,angry,happy,0,4,False
208,surprised,surprised,7,7,True
209,fearful,fearful,3,3,True
210,neutral,neutral,5,5,True
211,angry,happy,0,4,False
212,surprised,surprised,7,7,True
213,angry,angry,0,0,True
214,fearful,fearful,3,3,True
215,sad,sad,6,6,True
216,fearful,fearful,3,3,True
217,angry,angry,0,0,True
218,angry,happy,0,4,False
219,disgust,disgust,2,2,True
220,neutral,neutral,5,5,True
221,fearful,fearful,3,3,True
222,sad,disgust,6,2,False
223,neutral,neutral,5,5,True
224,disgust,angry,2,0,False
225,happy,happy,4,4,True
226,sad,sad,6,6,True
227,sad,sad,6,6,True
228,sad,fearful,6,3,False
229,angry,angry,0,0,True
230,calm,calm,1,1,True
231,fearful,fearful,3,3,True
232,sad,fearful,6,3,False
233,happy,happy,4,4,True
234,happy,happy,4,4,True
235,sad,sad,6,6,True
236,happy,angry,4,0,False
237,sad,fearful,6,3,False
238,neutral,neutral,5,5,True
239,disgust,fearful,2,3,False
240,fearful,fearful,3,3,True
241,disgust,disgust,2,2,True
242,happy,happy,4,4,True
243,neutral,neutral,5,5,True
244,disgust,disgust,2,2,True
245,sad,sad,6,6,True
246,disgust,neutral,2,5,False
247,sad,sad,6,6,True
248,disgust,sad,2,6,False
249,angry,neutral,0,5,False
250,fearful,fearful,3,3,True
251,neutral,neutral,5,5,True
252,disgust,sad,2,6,False
253,happy,neutral,4,5,False
254,sad,sad,6,6,True
255,happy,happy,4,4,True
256,disgust,disgust,2,2,True
257,disgust,disgust,2,2,True
258,disgust,fearful,2,3,False
259,disgust,disgust,2,2,True
260,neutral,neutral,5,5,True
261,disgust,disgust,2,2,True
262,sad,sad,6,6,True
263,disgust,disgust,2,2,True
264,calm,calm,1,1,True
265,happy,happy,4,4,True
266,neutral,neutral,5,5,True
267,disgust,disgust,2,2,True
268,disgust,disgust,2,2,True
269,happy,happy,4,4,True
270,disgust,fearful,2,3,False
271,calm,calm,1,1,True
272,angry,angry,0,0,True
273,calm,calm,1,1,True
274,angry,angry,0,0,True
275,fearful,fearful,3,3,True
276,neutral,neutral,5,5,True
277,happy,happy,4,4,True
278,disgust,disgust,2,2,True
279,happy,happy,4,4,True
280,happy,happy,4,4,True
281,happy,happy,4,4,True
282,neutral,neutral,5,5,True
283,sad,sad,6,6,True
284,happy,happy,4,4,True
285,fearful,fearful,3,3,True
286,fearful,fearful,3,3,True
287,happy,happy,4,4,True
288,disgust,sad,2,6,False
289,fearful,fearful,3,3,True
290,angry,angry,0,0,True
291,fearful,fearful,3,3,True
292,fearful,fearful,3,3,True
293,disgust,sad,2,6,False
294,sad,sad,6,6,True
295,sad,sad,6,6,True
296,angry,angry,0,0,True
297,neutral,neutral,5,5,True
298,angry,angry,0,0,True
299,disgust,disgust,2,2,True
300,fearful,fearful,3,3,True
301,sad,happy,6,4,False
302,angry,angry,0,0,True
303,neutral,neutral,5,5,True
304,angry,angry,0,0,True
305,fearful,fearful,3,3,True
306,fearful,happy,3,4,False
307,disgust,disgust,2,2,True
308,neutral,neutral,5,5,True
309,sad,sad,6,6,True
310,disgust,disgust,2,2,True
311,angry,angry,0,0,True
312,disgust,disgust,2,2,True
313,surprised,surprised,7,7,True
314,sad,sad,6,6,True
315,happy,happy,4,4,True
316,disgust,happy,2,4,False
317,neutral,neutral,5,5,True
318,angry,angry,0,0,True
319,happy,happy,4,4,True
320,neutral,neutral,5,5,True
321,fearful,fearful,3,3,True
322,calm,sad,1,6,False
323,happy,happy,4,4,True
324,fearful,fearful,3,3,True
325,sad,sad,6,6,True
326,fearful,fearful,3,3,True
327,happy,happy,4,4,True
328,sad,fearful,6,3,False
329,angry,disgust,0,2,False
330,disgust,angry,2,0,False
331,neutral,neutral,5,5,True
332,sad,sad,6,6,True
333,surprised,surprised,7,7,True
334,neutral,neutral,5,5,True
335,surprised,surprised,7,7,True
336,surprised,surprised,7,7,True
337,angry,angry,0,0,True
